Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
151,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
152,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
154,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
155,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
158,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
161,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
162,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
163,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
166,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
167,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
169,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
170,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
174,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
175,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
176,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
178,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
181,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,6,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x <= 0.5)
