Order,Length_1,Length_2,Length_3,Length_4,Rule_1,Rule_2,Rule_3,Rule_4,Decision_Class_1,Decision_Class_2,Decision_Class_3,Decision_Class_4
3,7,7,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-x <= 0.5),,,positive,positive,,
7,10,,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-right-square-b > 0.5),,,,positive,,,
11,8,9,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-x > 0.5) & (top-right-square-b <= 0.5) & (top-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-x > 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-x <= 0.5),,,positive,positive,,
36,6,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5),,,,positive,,,
54,7,,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-o <= 0.5),,,,positive,,,
56,7,,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-o <= 0.5),,,,positive,,,
80,7,5,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b <= 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-b <= 0.5),,,positive,positive,,
82,5,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-b <= 0.5),,,,positive,,,
89,10,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-o > 0.5) & (top-left-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5),,,,positive,,,
92,6,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-x > 0.5),,,,positive,,,
98,9,6,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (top-middle-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-x > 0.5),,,positive,positive,,
102,5,6,5,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b > 0.5) & (middle-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-b <= 0.5),,positive,positive,positive,
103,7,6,5,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b > 0.5) & (middle-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-b <= 0.5),,positive,positive,positive,
106,5,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-right-square-b > 0.5),,,,positive,,,
107,7,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b > 0.5),,,,positive,,,
112,10,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-b > 0.5),,,,positive,,,
152,9,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-left-square-x > 0.5),,,,positive,,,
153,9,13,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (top-middle-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (middle-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (middle-left-square-x > 0.5),,,positive,positive,,
180,8,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5) & (top-middle-square-b <= 0.5) & (bottom-left-square-b > 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-x > 0.5),,,,positive,,,
181,9,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-left-square-x > 0.5),,,,positive,,,
184,11,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),,,,positive,,,
185,7,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b > 0.5) & (bottom-right-square-b <= 0.5),,,,positive,,,
190,8,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5),,,,positive,,,
194,9,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-left-square-b > 0.5) & (middle-left-square-x > 0.5),,,,positive,,,
196,9,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b > 0.5),,,,positive,,,
212,10,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-b > 0.5),,,,positive,,,
