Row Number,Matched Rules,Matched Rules
1,"bottom-middle-square-x <= 0.5 && bottom-right-square-x <= 0.5 && middle-left-square-o <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-b <= 0.5 && middle-right-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-o <= 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 9},)",9
2,"bottom-middle-square-x > 0.5 && bottom-right-square-x <= 0.5 && middle-left-square-o <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-x <= 0.5 && top-left-square-x > 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 7},)",7
3,"bottom-right-square-x > 0.5 && middle-left-square-b <= 0.5 && middle-left-square-x > 0.5 && middle-middle-square-o > 0.5 && middle-right-square-o > 0.5 && middle-right-square-x <= 0.5 && top-left-square-b <= 0.5 && top-left-square-o <= 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 10},)",10
4,"bottom-middle-square-x <= 0.5 && bottom-right-square-x <= 0.5 && middle-left-square-o <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-b <= 0.5 && middle-right-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-o <= 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 9},)",9
5,"bottom-middle-square-x <= 0.5 && bottom-right-square-x <= 0.5 && middle-left-square-o <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-b <= 0.5 && middle-right-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-o <= 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 9},)",9
6,"bottom-middle-square-x <= 0.5 && bottom-right-square-x <= 0.5 && middle-left-square-o <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-b <= 0.5 && middle-right-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-o <= 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 9},)",9
7,"bottom-middle-square-x <= 0.5 && bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-b > 0.5 && top-left-square-x > 0.5 && top-middle-square-o <= 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 7},)",7
8,"bottom-middle-square-x <= 0.5 && bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-b > 0.5 && top-left-square-x > 0.5 && top-middle-square-o <= 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 7},)",7
9,"bottom-middle-square-x <= 0.5 && bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-b > 0.5 && top-left-square-x > 0.5 && top-middle-square-o <= 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 7},)",7
10,"middle-left-square-x > 0.5 && middle-middle-square-o <= 0.5 && middle-middle-square-x <= 0.5 && middle-right-square-o > 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 5},)",5
