Order,Length_1,Length_2,Length_3,Length_4,Length_5,Length_6,Length_7,Rule_1,Rule_2,Rule_3,Rule_4,Rule_5,Rule_6,Rule_7
1,6,4,4,9,4,6,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-o > 0.5),
2,7,8,4,7,4,7,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-right-square-x <= 0.5),
3,8,10,4,11,4,11,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-b <= 0.5) & (bottom-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-left-square-x <= 0.5),
4,8,10,4,9,4,8,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-right-square-b <= 0.5),
5,8,10,4,9,4,8,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-right-square-b <= 0.5),
6,6,10,4,9,4,6,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-o > 0.5),
7,8,8,4,7,4,13,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-right-square-b > 0.5) & (top-right-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-o > 0.5),
8,7,8,4,7,4,6,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-o > 0.5),
9,6,8,4,7,4,6,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-o > 0.5),
10,8,10,3,4,3,,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (middle-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,
