Rule,class,Length
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5),negative,8
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (top-right-square-b <= 0.5),positive,14
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (top-right-square-b > 0.5) & (middle-right-square-b <= 0.5) & (bottom-right-square-b <= 0.5),positive,16
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (top-right-square-b > 0.5) & (middle-right-square-b <= 0.5) & (bottom-right-square-b > 0.5),negative,16
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (top-right-square-b > 0.5) & (middle-right-square-b > 0.5),negative,15
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-o > 0.5),negative,13
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (top-left-square-b > 0.5),negative,12
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b > 0.5) & (top-right-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-right-square-b <= 0.5),positive,14
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b > 0.5) & (top-right-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-right-square-b > 0.5) & (top-left-square-x <= 0.5),negative,15
(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b > 0.5) & (top-right-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-right-square-b > 0.5) & (top-left-square-x > 0.5),positive,15
