Rule,Class,Length
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o <= 0),negative,3
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0),negative,5
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (middle-left-square-o <= 0) & (middle-right-square-o <= 0),negative,7
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (middle-left-square-o <= 0) & (middle-right-square-o > 0) & (bottom-right-square-x <= 0),negative,8
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (middle-left-square-o <= 0) & (middle-right-square-o > 0) & (bottom-right-square-x > 0) & (middle-left-square-x <= 0),negative,9
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (middle-left-square-o <= 0) & (middle-right-square-o > 0) & (bottom-right-square-x > 0) & (middle-left-square-x > 0),positive,9
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (middle-left-square-o > 0),positive,6
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o <= 0) & (middle-left-square-o <= 0) & (top-middle-square-o <= 0),negative,7
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o <= 0) & (middle-left-square-o <= 0) & (top-middle-square-o > 0) & (middle-right-square-o <= 0),negative,8
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o <= 0) & (middle-left-square-o <= 0) & (top-middle-square-o > 0) & (middle-right-square-o > 0),positive,8
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o <= 0) & (middle-left-square-o > 0) & (top-left-square-o <= 0) & (top-middle-square-o <= 0),negative,8
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o <= 0) & (middle-left-square-o > 0) & (top-left-square-o <= 0) & (top-middle-square-o > 0),positive,8
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o <= 0) & (middle-left-square-o > 0) & (top-left-square-o > 0),positive,7
(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0),positive,5
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0),negative,4
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0),negative,7
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o > 0) & (middle-right-square-o <= 0),negative,8
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o > 0) & (middle-right-square-o > 0),positive,8
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o > 0) & (bottom-left-square-o <= 0) & (bottom-middle-square-x <= 0),positive,8
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o > 0) & (bottom-left-square-o <= 0) & (bottom-middle-square-x > 0),negative,8
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o > 0) & (bottom-left-square-o > 0),positive,7
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0),positive,5
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b <= 0) & (top-middle-square-b <= 0) & (top-middle-square-x <= 0) & (top-left-square-o <= 0) & (middle-left-square-x <= 0),positive,11
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b <= 0) & (top-middle-square-b <= 0) & (top-middle-square-x <= 0) & (top-left-square-o <= 0) & (middle-left-square-x > 0),negative,11
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b <= 0) & (top-middle-square-b <= 0) & (top-middle-square-x <= 0) & (top-left-square-o > 0),positive,10
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b <= 0) & (top-middle-square-b <= 0) & (top-middle-square-x > 0) & (bottom-middle-square-x <= 0) & (bottom-left-square-o <= 0) & (middle-left-square-o <= 0),negative,12
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b <= 0) & (top-middle-square-b <= 0) & (top-middle-square-x > 0) & (bottom-middle-square-x <= 0) & (bottom-left-square-o <= 0) & (middle-left-square-o > 0),positive,12
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b <= 0) & (top-middle-square-b <= 0) & (top-middle-square-x > 0) & (bottom-middle-square-x <= 0) & (bottom-left-square-o > 0),positive,11
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b <= 0) & (top-middle-square-b <= 0) & (top-middle-square-x > 0) & (bottom-middle-square-x > 0),negative,10
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b <= 0) & (top-middle-square-b > 0),negative,8
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b <= 0) & (bottom-left-square-b > 0),negative,7
(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o > 0) & (middle-right-square-o <= 0) & (top-left-square-b <= 0) & (bottom-middle-square-b > 0),negative,6
