Order,top-left-square-x,top-left-square-o,top-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,class,Rule_Length,Rule
744,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
746,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
755,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
758,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
761,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
769,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
772,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
773,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
776,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
780,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
785,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
787,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
790,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
791,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
796,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
